,Capitulo,Frases,palabras,sustantivos,nombrespropios,NEU,POS,NEG,Felicidad,Enojo,Disgusto,Tristeza,Sorpresa,Miedo,Otros
0,Prólogo,19,"'momento': 3, 'amigo': 3, 'mundo': 3","'momento': 3, 'amigo': 3, 'mundo': 3",,0.3112514758188474,0.3399785872254717,0.3487699355832056,0.21712708577826179,0.059791580548718276,0.029756708315720682,0.2726811734395788,0.014108095211620247,0.010886204862464709,0.3956491315957943
1,Primer Recuerdo: Renacer,316,"'lugar': 41, 'encontrar': 37, 'parecer': 33","'lugar': 39, 'vez': 32, 'luz': 28","'habité': 1, 'vine': 1, 'acá': 1",0.408541469743381,0.22659174206259933,0.36486678757141877,0.0623525482394454,0.01885204414963793,0.009541161715500079,0.12685171596682335,0.05355957558069487,0.05862234735556015,0.6702205998717315
2,Segundo Recuerdo: Laberinto,178,"'encontrar': 32, 'lugar': 31, 'parecer': 18","'lugar': 27, 'luz': 14, 'vez': 13",'acá': 2,0.4079714443513684,0.28361821982596236,0.30841033346166186,0.08862204631866386,0.04598479248507124,0.007193285877946529,0.08711971166485455,0.04044760055089529,0.041060073717805984,0.6895724953239878
3,Tercer Recuerdo: Vida,182,"'anne': 45, 'viento': 35, 'abanico': 19","'viento': 32, 'abanico': 19, 'clon': 17","'anne': 39, 'acá': 2, 'las vegas': 1",0.4157958265475847,0.33771751848929615,0.2464866582457754,0.1366687683843698,0.02469351298858093,0.008470121929049428,0.13578742016989553,0.027680525295871342,0.021547670274330712,0.6451519794146796
4,Cuarto Recuerdo: El Comienzo,282,"'ojo': 25, 'anne': 24, 'lugar': 22","'vez': 27, 'torre': 20, 'lugar': 19","'anne': 22, 'herald': 7, 'marcia': 4",0.44271357129625183,0.31534894617276055,0.24193748316301547,0.07769439121500213,0.02058366613872498,0.004445143532567717,0.07060823070653426,0.030476646752658973,0.023767189520643613,0.7724247371785323
5,Quinto Recuerdo: Marchito,159,"'marcia': 26, 'torre': 17, 'planta': 15","'marcia': 22, 'torre': 17, 'plantas': 14","'marcia': 15, 'eta': 2, 'ámsterdam': 2",0.4291679933198593,0.28502662012605406,0.28580538022665763,0.07194253050450546,0.030559745039252722,0.00844078088682965,0.10843015227059734,0.037439579883247684,0.02360897590675312,0.7195782380957602
6,Sexto Recuerdo: Nostalgia,246,"'marcia': 54, 'clon': 21, 'cuerpo': 17","'marcia': 43, 'clon': 21, 'vez': 18","'marcia': 30, 'mi corazón': 1, 'marcia me': 1",0.43903077806807994,0.2908598952434533,0.270109328784889,0.08974506461645507,0.010975423595445453,0.004347204144183278,0.1398265433272468,0.026740303018879964,0.03366565495797828,0.6946998010614293
7,Séptimo Recuerdo: Retroceso,151,"'herald': 19, 'lugar': 15, 'encontrar': 12","'lugar': 13, 'vez': 8, 'entrada': 8","'herald': 16, 'mhn-001': 3, 'acá': 2",0.5034919738374799,0.29009070007796617,0.2064173287952578,0.08412695684106342,0.015227010127446854,0.0024293535707028127,0.042782423305417726,0.03221116963922761,0.0066033767116879,0.8166197162423752
8,Octavo Recuerdo: Sensibilidad,211,"'herald': 33, 'enorme': 21, 'láser': 15","'látigo': 15, 'vez': 14, 'cabeza': 13","'herald': 32, 'anne': 13, 'joseph': 4",0.4596689083388349,0.2400830978675529,0.3002479990957508,0.0760807831542979,0.04768469475013297,0.010783999954824507,0.05169523919610333,0.02956466535045611,0.021395249959987355,0.7627953707739287
9,Noveno Recuerdo: Luz sobre materia,240,"'herald': 54, 'encontrar': 23, 'lugar': 22","'lugar': 21, 'capa': 19, 'vez': 18","'herald': 54, 'mhn-001': 6, 'anne': 3",0.4693704697148254,0.2621005612425506,0.2685289695276879,0.06425433482399967,0.026416501867182283,0.008446373866111875,0.08889735597525335,0.035556843575371505,0.01569613663432392,0.7607324518835715
